ID;Description;GeneRatio;BgRatio;RichFactor;FoldEnrichment;zScore;pvalue;p.adjust;qvalue;geneID;Count
GO:0051254;positive regulation of RNA metabolic process;22/67;312/2237;0,0705128205128205;2,35428626100268;4,53018394674056;5,09185055722451e-05;0,0412448699016448;0,0368826741909334;NLRP3/SERTAD2/ARID5A/NR4A2/INO80D/CTNNB1/APBB2/ELL2/IRF1/IRF4/HSPA1A/PLAGL1/TFEC/JAK2/KLF4/ARID5B/NR1D1/STAT3/JUNB/ELL/ZFP36/ATF4;22
GO:0071214;cellular response to abiotic stimulus;9/67;64/2237;0,140625;4,69519589552239;5,26915561306895;8,36060436090185e-05;0,0412448699016448;0,0368826741909334;GADD45A/SDE2/ADSS2/NLRP3/IRF1/FAS/BCL2L1/ATF4/TIMP1;9
GO:0104004;cellular response to environmental stimulus;9/67;64/2237;0,140625;4,69519589552239;5,26915561306895;8,36060436090185e-05;0,0412448699016448;0,0368826741909334;GADD45A/SDE2/ADSS2/NLRP3/IRF1/FAS/BCL2L1/ATF4/TIMP1;9
GO:0045893;positive regulation of DNA-templated transcription;20/67;289/2237;0,069204152249135;2,3105923668853;4,19435816825462;0,000166783321506587;0,0412448699016448;0,0368826741909334;NLRP3/SERTAD2/ARID5A/NR4A2/INO80D/CTNNB1/APBB2/ELL2/IRF1/IRF4/PLAGL1/TFEC/JAK2/KLF4/ARID5B/NR1D1/STAT3/JUNB/ELL/ATF4;20
GO:1902680;positive regulation of RNA biosynthetic process;20/67;289/2237;0,069204152249135;2,3105923668853;4,19435816825462;0,000166783321506587;0,0412448699016448;0,0368826741909334;NLRP3/SERTAD2/ARID5A/NR4A2/INO80D/CTNNB1/APBB2/ELL2/IRF1/IRF4/PLAGL1/TFEC/JAK2/KLF4/ARID5B/NR1D1/STAT3/JUNB/ELL/ATF4;20
GO:0012501;programmed cell death;26/67;439/2237;0,0592255125284738;1,97742494815218;4,01295482129228;0,000175849319756575;0,0412448699016448;0,0368826741909334;GADD45A/GBP5/MCL1/NLRP3/HK2/NR4A2/TMBIM1/CTNNB1/CCNL1/APBB2/IRF1/HSPA1A/PLAGL1/GGCT/TNFRSF10D/JAK2/KLF4/NEK6/FAS/UBB/PHLPP1/ZFP36/BCL2L1/TGM2/ATF4/TIMP1;26
GO:0008219;cell death;26/67;440/2237;0,0590909090909091;1,97293080054274;4,00016297730448;0,000182908529823968;0,0412448699016448;0,0368826741909334;GADD45A/GBP5/MCL1/NLRP3/HK2/NR4A2/TMBIM1/CTNNB1/CCNL1/APBB2/IRF1/HSPA1A/PLAGL1/GGCT/TNFRSF10D/JAK2/KLF4/NEK6/FAS/UBB/PHLPP1/ZFP36/BCL2L1/TGM2/ATF4/TIMP1;26
GO:0051402;neuron apoptotic process;8/67;56/2237;0,142857142857143;4,76972281449893;5,0190212299682;0,000191972593860956;0,0412448699016448;0,0368826741909334;MCL1/NR4A2/CTNNB1/JAK2/FAS/UBB/BCL2L1/ATF4;8
GO:0045935;positive regulation of nucleobase-containing compound metabolic process;22/67;342/2237;0,064327485380117;2,14776992231823;4,05141488751846;0,000211157599695116;0,0412448699016448;0,0368826741909334;NLRP3/SERTAD2/ARID5A/NR4A2/INO80D/CTNNB1/APBB2/ELL2/IRF1/IRF4/HSPA1A/PLAGL1/TFEC/JAK2/KLF4/ARID5B/NR1D1/STAT3/JUNB/ELL/ZFP36/ATF4;22
GO:0045944;positive regulation of transcription by RNA polymerase II;17/67;227/2237;0,0748898678414097;2,50042737852587;4,18960726619894;0,000229310584850459;0,0412448699016448;0,0368826741909334;NLRP3/ARID5A/NR4A2/CTNNB1/APBB2/ELL2/IRF1/IRF4/PLAGL1/TFEC/JAK2/KLF4/NR1D1/STAT3/JUNB/ELL/ATF4;17
GO:0051726;regulation of cell cycle;15/67;185/2237;0,0810810810810811;2,70713997579669;4,25902071378813;0,000242658411170149;0,0412448699016448;0,0368826741909334;GADD45A/SDE2/INO80D/CTNNB1/CCNL1/APBB2/IRF1/DUSP1/HSPA1A/PLAGL1/KLF4/NEK6/STAT3/JUNB/BCL2L1;15
GO:0000122;negative regulation of transcription by RNA polymerase II;14/67;166/2237;0,0843373493975904;2,81586045675238;4,27159333187635;0,000268697385750182;0,0412448699016448;0,0368826741909334;GADD45A/ARID5A/NR4A2/CTNNB1/APBB2/HSPA1A/PLAGL1/TFEC/KLF4/ARID5B/NR1D1/STAT3/ZFP36/ATF4;14
GO:0043523;regulation of neuron apoptotic process;7/67;45/2237;0,155555555555556;5,19369817578773;4,99259786535867;0,000289712718113067;0,0412448699016448;0,0368826741909334;MCL1/NR4A2/CTNNB1/JAK2/UBB/BCL2L1/ATF4;7
GO:0006915;apoptotic process;25/67;427/2237;0,0585480093676815;1,95480443217169;3,85329723137341;0,000304872322398642;0,0412448699016448;0,0368826741909334;GADD45A/MCL1/NLRP3/HK2/NR4A2/TMBIM1/CTNNB1/CCNL1/APBB2/IRF1/HSPA1A/PLAGL1/GGCT/TNFRSF10D/JAK2/KLF4/NEK6/FAS/UBB/PHLPP1/ZFP36/BCL2L1/TGM2/ATF4/TIMP1;25
GO:0009791;post-embryonic development;5/67;22/2237;0,227272727272727;7,58819538670285;5,45549773453492;0,000367885933133649;0,0464517304903421;0,0415388397482134;NR4A2/TIPARP/JAK2/KLF4/ARID5B;5
GO:0043524;negative regulation of neuron apoptotic process;5/67;24/2237;0,208333333333333;6,95584577114428;5,15349419201996;0,000566764723736944;0,0596110180211345;0,0533063569143586;NR4A2/CTNNB1/JAK2/BCL2L1/ATF4;5
GO:0072538;T-helper 17 type immune response;5/67;24/2237;0,208333333333333;6,95584577114428;5,15349419201996;0,000566764723736944;0,0596110180211345;0,0533063569143586;ARID5A/IRF4/JAK2/STAT3/JUNB;5
GO:0006357;regulation of transcription by RNA polymerase II;22/67;367/2237;0,0599455040871935;2,00146406929928;3,68630304594714;0,000597208452171188;0,0596110180211345;0,0533063569143586;GADD45A/NLRP3/ARID5A/NR4A2/CTNNB1/CCNL1/APBB2/ELL2/IRF1/IRF4/HSPA1A/PLAGL1/TFEC/JAK2/KLF4/ARID5B/NR1D1/STAT3/JUNB/ELL/ZFP36/ATF4;22
GO:2001233;regulation of apoptotic signaling pathway;10/67;100/2237;0,1;3,33880597014925;4,20373534911125;0,000597998596832923;0,0596110180211345;0,0533063569143586;MCL1/NR4A2/TMBIM1/CTNNB1/HSPA1A/JAK2/FAS/UBB/BCL2L1/ATF4;10
GO:0006366;transcription by RNA polymerase II;22/67;374/2237;0,0588235294117647;1,9640035118525;3,58881791106608;0,000782348914475286;0,0740884422008096;0,0662526001784598;GADD45A/NLRP3/ARID5A/NR4A2/CTNNB1/CCNL1/APBB2/ELL2/IRF1/IRF4/HSPA1A/PLAGL1/TFEC/JAK2/KLF4/ARID5B/NR1D1/STAT3/JUNB/ELL/ZFP36/ATF4;22
GO:0008637;apoptotic mitochondrial changes;5/67;26/2237;0,192307692307692;6,42078071182549;4,88424652001588;0,000837257404474289;0,0755126440035383;0,0675261736240166;MCL1/HK2/HSPA1A/GGCT/BCL2L1;5
GO:0010557;positive regulation of macromolecule biosynthetic process;26/67;487/2237;0,053388090349076;1,78252474792363;3,42994354315138;0,000990444709763618;0,0793901506838386;0,0709935821987975;GBP5/TENT5C/NLRP3/SERTAD2/ARID5A/NR4A2/INO80D/CTNNB1/APBB2/ELL2/IRF1/IRF4/HSPA1A/PLAGL1/TFEC/JAK2/KLF4/ARID5B/PNP/ADORA2B/NR1D1/STAT3/JUNB/ELL/ZFP36/ATF4;26
GO:0001659;temperature homeostasis;6/67;40/2237;0,15;5,00820895522388;4,49374842226115;0,000991214644456086;0,0793901506838386;0,0709935821987975;IRF4/JAK2/PTGES/NR1D1/STAT3/ATF4;6
